+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 5325  | 0   | 5294 | 0   | 31  | 0   | GET    | /api/announcements                                                                            | 0.004 | 5.003 | 1619.040 | 0.304 | 0.704 | 1.060 | 2.948 | 0.520  | 196.000     | 4055.000    | 17221981.000 | 3234.175    |
| 126   | 0   | 30   | 0   | 96  | 0   | GET    | /api/users/me/grades                                                                          | 0.092 | 5.004 | 473.141  | 3.755 | 5.000 | 5.003 | 5.004 | 2.133  | 14844.000   | 27478.000   | 430142.000   | 3413.825    |
| 882   | 0   | 870  | 0   | 12  | 0   | POST   | /api/announcements                                                                            | 0.004 | 5.000 | 224.171  | 0.254 | 0.572 | 0.896 | 2.931 | 0.492  | 0.000       | 23.000      | 120.000      | 0.136       |
| 1100  | 0   | 1097 | 0   | 3   | 0   | GET    | /api/courses                                                                                  | 0.004 | 5.000 | 222.755  | 0.203 | 0.448 | 0.824 | 2.316 | 0.461  | 3.000       | 8306.000    | 4057344.000  | 3688.495    |
| 363   | 0   | 359  | 0   | 4   | 0   | PUT    | /api/users/me/courses                                                                         | 0.004 | 3.540 | 82.352   | 0.227 | 0.456 | 0.656 | 1.624 | 0.330  | 0.000       | 246.000     | 536.000      | 1.477       |
| 355   | 0   | 353  | 0   | 2   | 0   | GET    | /api/users/me/courses                                                                         | 0.004 | 3.960 | 73.020   | 0.206 | 0.424 | 0.644 | 2.512 | 0.421  | 3.000       | 2793.000    | 502663.000   | 1415.952    |
| 499   | 0   | 488  | 0   | 11  | 0   | POST   | /api/courses                                                                                  | 0.004 | 5.000 | 68.828   | 0.138 | 0.372 | 0.580 | 1.484 | 0.354  | 36.000      | 43.000      | 17824.000    | 35.719      |
| 570   | 0   | 568  | 0   | 2   | 0   | GET    | /api/users/me                                                                                 | 0.004 | 3.092 | 65.576   | 0.115 | 0.284 | 0.492 | 1.316 | 0.273  | 22.000      | 63.000      | 32332.000    | 56.723      |
| 243   | 0   | 243  | 0   | 0   | 0   | GET    | /api/courses/01HFN9AQ07BSD7XXS4C4QPZ68C/classes                                               | 0.004 | 3.276 | 61.200   | 0.252 | 0.664 | 1.004 | 2.000 | 0.407  | 363.000     | 1423.000    | 215166.000   | 885.457     |
| 244   | 0   | 244  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APWZHJ27Y5830ABYHPZ1/classes                                               | 0.004 | 3.732 | 53.116   | 0.218 | 0.468 | 0.760 | 1.828 | 0.370  | 299.000     | 1433.000    | 210071.000   | 860.947     |
| 235   | 0   | 235  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APV6H35JPX96Q7SRT29Q/classes                                               | 0.004 | 2.808 | 50.376   | 0.214 | 0.520 | 1.000 | 1.996 | 0.363  | 375.000     | 1562.000    | 217133.000   | 923.970     |
| 247   | 0   | 247  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APVRPWDH971S2DTZN8KH/classes                                               | 0.004 | 2.360 | 50.276   | 0.204 | 0.504 | 0.760 | 1.928 | 0.321  | 271.000     | 1426.000    | 216925.000   | 878.239     |
| 243   | 0   | 243  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APWVP0F0AWS204RMCQNN/classes                                               | 0.004 | 3.076 | 48.428   | 0.199 | 0.400 | 0.652 | 2.168 | 0.379  | 308.000     | 1328.000    | 200673.000   | 825.815     |
| 241   | 0   | 241  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APVRPWDH971S2HJ0M1NH/classes                                               | 0.004 | 3.572 | 45.280   | 0.188 | 0.424 | 0.764 | 1.500 | 0.346  | 306.000     | 1307.000    | 190877.000   | 792.021     |
| 245   | 0   | 245  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APV0P5FY83PMJ4R4D941/classes                                               | 0.004 | 3.712 | 44.880   | 0.183 | 0.456 | 0.656 | 1.752 | 0.383  | 210.000     | 1261.000    | 177322.000   | 723.763     |
| 240   | 0   | 240  | 0   | 0   | 0   | GET    | /api/courses/01HFN9AQ0CK4G7PG1H64RSQAFQ/classes                                               | 0.008 | 3.268 | 44.324   | 0.185 | 0.388 | 0.732 | 2.256 | 0.371  | 281.000     | 1363.000    | 194981.000   | 812.421     |
| 242   | 0   | 242  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APVSAAGCP9D482VFH23C/classes                                               | 0.004 | 2.112 | 44.160   | 0.182 | 0.408 | 0.748 | 1.584 | 0.306  | 329.000     | 1278.000    | 192966.000   | 797.380     |
| 189   | 0   | 187  | 0   | 2   | 0   | GET    | /api/courses/01HFN99THT3BYCKVHV18VQ8N8T/classes                                               | 0.004 | 2.376 | 43.972   | 0.233 | 0.616 | 1.016 | 2.016 | 0.366  | 0.000       | 1114.000    | 118601.000   | 627.519     |
| 242   | 0   | 242  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APV0P5FY83PMJ7P3CDXR/classes                                               | 0.004 | 2.700 | 43.932   | 0.182 | 0.472 | 0.672 | 1.560 | 0.318  | 297.000     | 1379.000    | 203823.000   | 842.244     |
| 239   | 0   | 239  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APZQXBXVD5JET8NPHH96/classes                                               | 0.008 | 2.412 | 43.592   | 0.182 | 0.408 | 0.532 | 1.832 | 0.297  | 293.000     | 1416.000    | 205953.000   | 861.728     |
| 190   | 0   | 189  | 0   | 1   | 0   | GET    | /api/courses/01HFN99TKR566ZHP3GFBNQ775G/classes                                               | 0.008 | 3.580 | 42.720   | 0.225 | 0.492 | 0.964 | 2.532 | 0.428  | 0.000       | 1049.000    | 123861.000   | 651.900     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFN9AQ0CK4G7PG1H68M9BHJ4/classes                                               | 0.008 | 2.060 | 42.692   | 0.171 | 0.416 | 0.660 | 1.584 | 0.279  | 297.000     | 1372.000    | 213505.000   | 857.450     |
| 246   | 0   | 246  | 0   | 0   | 0   | GET    | /api/courses/01HFN9APWYMPF2PASBJ6PNNNG4/classes                                               | 0.004 | 2.984 | 42.640   | 0.173 | 0.372 | 0.668 | 1.828 | 0.322  | 249.000     | 1397.000    | 208067.000   | 845.801     |
| 245   | 0   | 245  | 0   | 0   | 0   | GET    | /api/courses/01HFN9AQ07BSD7XXS4C6GX57YS/classes                                               | 0.004 | 3.236 | 40.940   | 0.167 | 0.392 | 0.592 | 1.060 | 0.272  | 320.000     | 1475.000    | 206873.000   | 844.380     |
| 173   | 0   | 170  | 0   | 3   | 0   | GET    | /api/courses/01HFN99TGF0A7PED4FG8BCVQM7/classes                                               | 0.004 | 2.512 | 38.240   | 0.221 | 0.548 | 0.948 | 2.028 | 0.348  | 0.000       | 1193.000    | 113366.000   | 655.295     |
