+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FGT0MV3N1NSKH722A1G/classes                                               | 0.004 | 2.688 | 39.560   | 0.158 | 0.364 | 0.548 | 1.948 | 0.302  | 262.000     | 1321.000    | 194200.000   | 776.800     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4M9M2YCN0QY59CKJHA0S/classes                                               | 0.004 | 3.256 | 38.312   | 0.153 | 0.348 | 0.552 | 1.832 | 0.328  | 319.000     | 1258.000    | 194350.000   | 777.400     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4MDJ4YD9VAF8GATM6ZHX/classes                                               | 0.004 | 2.356 | 37.872   | 0.152 | 0.344 | 0.624 | 1.380 | 0.264  | 210.000     | 1191.000    | 169859.000   | 682.165     |
| 248   | 0   | 248  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FR19K7P91CXBRT7JVN2/classes                                               | 0.004 | 2.268 | 37.560   | 0.151 | 0.360 | 0.684 | 1.764 | 0.286  | 243.000     | 1499.000    | 206827.000   | 833.980     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FSV0WM6EQMW29102NZ8/classes                                               | 0.004 | 1.956 | 36.399   | 0.146 | 0.340 | 0.504 | 1.036 | 0.220  | 389.000     | 1558.000    | 251492.000   | 1010.008    |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4MD09H8ST2QRQJ6SW0XN/classes                                               | 0.004 | 3.132 | 36.308   | 0.145 | 0.344 | 0.552 | 1.404 | 0.277  | 216.000     | 1261.000    | 182600.000   | 730.400     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4M9K4PG6G94GYE5FXM9Z/classes                                               | 0.004 | 3.472 | 36.220   | 0.145 | 0.384 | 0.612 | 0.836 | 0.281  | 329.000     | 1438.000    | 218500.000   | 874.000     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FPWN05D51C48A4MZ03H/classes                                               | 0.004 | 1.516 | 36.175   | 0.145 | 0.368 | 0.596 | 1.392 | 0.251  | 319.000     | 1319.000    | 201947.000   | 811.032     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4M97RZ0XW581RFK4SJPX/classes                                               | 0.004 | 1.688 | 35.908   | 0.144 | 0.368 | 0.504 | 1.228 | 0.221  | 286.000     | 1262.000    | 194650.000   | 778.600     |
| 248   | 0   | 248  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FRPDHSX21PHMK79SK2W/classes                                               | 0.004 | 3.224 | 34.868   | 0.141 | 0.356 | 0.572 | 1.172 | 0.273  | 276.000     | 1168.000    | 180414.000   | 727.476     |
| 122   | 0   | 121  | 0   | 1   | 0   | GET    | /api/courses/01HFNB4N8REEXC3X7PFNCMXQNE/classes                                               | 0.008 | 5.004 | 34.744   | 0.285 | 0.560 | 0.976 | 3.272 | 0.608  | 741.000     | 742.000     | 55854.000    | 457.820     |
| 133   | 0   | 131  | 0   | 2   | 0   | GET    | /api/courses/01HFNB4N71GRQAKE2PNQQC2DCH/classes                                               | 0.004 | 5.000 | 34.576   | 0.260 | 0.500 | 1.016 | 5.000 | 0.667  | 0.000       | 828.000     | 76365.000    | 574.173     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FRNMSNXQDMB4FASWMR7/classes                                               | 0.004 | 2.056 | 34.559   | 0.139 | 0.312 | 0.532 | 1.587 | 0.261  | 310.000     | 1350.000    | 209772.000   | 842.458     |
| 250   | 0   | 250  | 0   | 0   | 0   | GET    | /api/courses/01HFNB3FSH61AWKPZN9G7PDB4P/classes                                               | 0.004 | 1.956 | 33.991   | 0.136 | 0.356 | 0.532 | 1.400 | 0.236  | 212.000     | 1429.000    | 196650.000   | 786.600     |
| 138   | 0   | 138  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4N7JPZDKABNSMK4S7202/classes                                               | 0.004 | 2.872 | 33.764   | 0.245 | 0.688 | 0.976 | 2.748 | 0.432  | 262.000     | 1066.000    | 88104.000    | 638.435     |
