+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
| 245   | 0   | 245  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBY0HYG3RV2YEXRVWSPM/classes                                               | 0.004 | 3.144 | 49.028  | 0.200 | 0.416 | 0.768 | 1.800 | 0.354  | 289.000     | 1442.000    | 214753.000   | 876.543     |
| 30    | 0   | 23   | 0   | 7   | 0   | GET    | /api/users/me/grades                                                                          | 0.108 | 5.004 | 48.228  | 1.608 | 5.000 | 5.000 | 5.004 | 1.994  | 14491.000   | 27016.000   | 415787.000   | 13859.567   |
| 244   | 0   | 244  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBXW3JJQAT9TJG5MJ472/classes                                               | 0.004 | 2.352 | 48.164  | 0.197 | 0.504 | 0.760 | 1.844 | 0.309  | 295.000     | 1390.000    | 211842.000   | 868.205     |
| 247   | 0   | 247  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBYAGMCMP51S2QTE91XV/classes                                               | 0.004 | 2.876 | 46.728  | 0.189 | 0.452 | 0.680 | 1.908 | 0.330  | 289.000     | 1415.000    | 205429.000   | 831.696     |
| 247   | 0   | 247  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBXYMWNAVAAN3XZQT86H/classes                                               | 0.004 | 2.776 | 44.192  | 0.179 | 0.448 | 0.696 | 2.224 | 0.339  | 355.000     | 1403.000    | 213242.000   | 863.328     |
| 241   | 0   | 241  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBW5SKE7C0G07D4NXKFC/classes                                               | 0.004 | 3.116 | 42.796  | 0.178 | 0.432 | 0.688 | 1.432 | 0.324  | 231.000     | 1364.000    | 199379.000   | 827.299     |
| 245   | 0   | 245  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBY2QZ716T0VFSE450JK/classes                                               | 0.004 | 1.968 | 42.636  | 0.174 | 0.444 | 0.652 | 1.484 | 0.274  | 240.000     | 1315.000    | 189214.000   | 772.302     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBX9C5Q6AJX4MBA812QC/classes                                               | 0.004 | 1.616 | 40.816  | 0.164 | 0.424 | 0.640 | 1.408 | 0.259  | 296.000     | 1387.000    | 204463.000   | 821.137     |
| 114   | 0   | 113  | 0   | 1   | 0   | GET    | /api/courses/01HFN5ND0T5X6RA1BEWG8V863B/classes                                               | 0.004 | 5.000 | 39.720  | 0.348 | 0.776 | 1.748 | 2.752 | 0.636  | 0.000       | 1029.000    | 71943.000    | 631.079     |
| 246   | 0   | 246  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBYAGMCMP51S2QEB7B7P/classes                                               | 0.004 | 2.376 | 39.652  | 0.161 | 0.368 | 0.640 | 1.700 | 0.274  | 210.000     | 1467.000    | 197150.000   | 801.423     |
| 109   | 0   | 109  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NC0HM95XPCM1EZM4GJD4/classes                                               | 0.008 | 3.484 | 35.404  | 0.325 | 0.888 | 1.216 | 2.060 | 0.483  | 215.000     | 715.000     | 46124.000    | 423.156     |
| 103   | 0   | 103  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NC0A7YRBQ9XSR5BPZ8NQ/classes                                               | 0.008 | 4.392 | 34.800  | 0.338 | 0.984 | 1.304 | 1.872 | 0.570  | 273.000     | 932.000     | 53453.000    | 518.961     |
| 79    | 0   | 79   | 0   | 0   | 0   | GET    | /api/courses/01HFN5NC20SCN32H077TB56PSE/classes                                               | 0.004 | 4.596 | 34.244  | 0.433 | 1.496 | 2.292 | 4.596 | 0.789  | 392.000     | 973.000     | 42990.000    | 544.177     |
| 249   | 0   | 249  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBXBMP1361TVG7HSV591/classes                                               | 0.008 | 2.048 | 33.520  | 0.135 | 0.292 | 0.396 | 1.552 | 0.236  | 289.000     | 1396.000    | 208854.000   | 838.771     |
| 100   | 0   | 100  | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND0T5X6RA1BEWXYFGR8C/classes                                               | 0.008 | 2.428 | 32.860  | 0.329 | 0.868 | 1.032 | 1.900 | 0.428  | 244.000     | 822.000     | 51090.000    | 510.900     |
| 72    | 0   | 71   | 0   | 1   | 0   | GET    | /api/courses/01HFN5ND0T5X6RA1BEWNR9R08Y/classes                                               | 0.012 | 5.000 | 32.088  | 0.446 | 1.048 | 1.576 | 5.000 | 0.688  | 0.000       | 529.000     | 26962.000    | 374.472     |
| 101   | 0   | 101  | 0   | 0   | 0   | GET    | /api/courses/01HFN5PCB6N88R8Y9ANA71NRVE/classes                                               | 0.008 | 2.776 | 30.464  | 0.302 | 0.668 | 0.892 | 2.708 | 0.497  | 274.000     | 843.000     | 54120.000    | 535.842     |
| 91    | 0   | 91   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND1KR7JSTWXVX3YKYP1H/classes                                               | 0.008 | 2.440 | 29.544  | 0.325 | 0.752 | 1.452 | 2.440 | 0.451  | 263.000     | 817.000     | 42194.000    | 463.670     |
| 88    | 0   | 88   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND28VJ96DCSBMAKWG93K/classes                                               | 0.004 | 3.532 | 29.392  | 0.334 | 0.668 | 1.892 | 3.532 | 0.578  | 266.000     | 863.000     | 38447.000    | 436.898     |
| 52    | 0   | 52   | 0   | 0   | 0   | GET    | /api/courses/01HFN5PCCX7TDDYDSTPH9YHEQF/classes                                               | 0.020 | 3.756 | 26.220  | 0.504 | 1.380 | 1.776 | 3.756 | 0.666  | 265.000     | 863.000     | 28576.000    | 549.538     |
| 97    | 0   | 97   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND2HQFMTGWVJN2MTSP9Y/classes                                               | 0.008 | 1.448 | 26.104  | 0.269 | 0.724 | 0.916 | 1.448 | 0.296  | 324.000     | 961.000     | 58277.000    | 600.794     |
| 70    | 0   | 70   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND2RHNASVX6VFNYWC3CT/classes                                               | 0.008 | 3.320 | 25.992  | 0.371 | 1.080 | 1.728 | 3.320 | 0.627  | 353.000     | 654.000     | 34013.000    | 485.900     |
| 85    | 0   | 85   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND28VJ96DCSBM3YM0A36/classes                                               | 0.008 | 3.140 | 25.884  | 0.305 | 0.792 | 0.952 | 3.140 | 0.430  | 294.000     | 971.000     | 49954.000    | 587.694     |
| 77    | 0   | 77   | 0   | 0   | 0   | GET    | /api/courses/01HFN5PC42TXXH0GK2N008GK2Z/classes                                               | 0.012 | 2.652 | 25.620  | 0.333 | 1.088 | 1.416 | 2.652 | 0.462  | 210.000     | 837.000     | 36810.000    | 478.052     |
| 65    | 0   | 64   | 0   | 1   | 0   | GET    | /api/courses/01HFN5PCBBZ0CZ0H7HHHSXESA8/classes                                               | 0.008 | 5.004 | 24.540  | 0.378 | 1.048 | 1.368 | 5.004 | 0.741  | 290.000     | 597.000     | 27743.000    | 426.815     |
| 54    | 0   | 54   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5P7DMAWQT4V0NDYGY2D99                                                 | 0.016 | 4.632 | 22.212  | 0.411 | 0.712 | 2.388 | 4.632 | 0.858  | 490.000     | 491.000     | 26464.000    | 490.074     |
| 40    | 0   | 40   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PW2B2MBSSTF8WDPT2MD7                                                 | 0.024 | 2.600 | 20.388  | 0.510 | 1.192 | 2.300 | 2.600 | 0.651  | 417.000     | 417.000     | 16680.000    | 417.000     |
| 40    | 0   | 40   | 0   | 0   | 0   | POST   | /api/courses/01HFN5ND1KR7JSTWXVX3YKYP1H/classes/01HFN5PJKQY6R40YZ2NE9B0QYD/assignments        | 0.024 | 3.884 | 19.972  | 0.499 | 1.400 | 1.696 | 3.884 | 0.738  | 0.000       | 0.000       | 0.000        | 0.000       |
| 45    | 0   | 45   | 0   | 0   | 0   | POST   | /api/courses/01HFN5NC0HM95XPCM1EZM4GJD4/classes/01HFN5PF97AP3PTD5KVAWSMW69/assignments        | 0.016 | 4.132 | 19.804  | 0.440 | 1.196 | 1.300 | 4.132 | 0.709  | 0.000       | 0.000       | 0.000        | 0.000       |
| 40    | 0   | 40   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PZ0184MTZJCFRRNNC3NE                                                 | 0.020 | 2.276 | 19.632  | 0.491 | 1.168 | 1.836 | 2.276 | 0.552  | 534.000     | 534.000     | 21360.000    | 534.000     |
| 48    | 0   | 48   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PRZMW96Z9NN1JKS3R5NW                                                 | 0.016 | 3.452 | 19.428  | 0.405 | 1.000 | 2.056 | 3.452 | 0.723  | 589.000     | 590.000     | 28273.000    | 589.021     |
| 56    | 0   | 56   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5NSXMJ6YK88XHSGK8AYFZ                                                 | 0.008 | 2.480 | 19.304  | 0.345 | 1.308 | 1.572 | 2.480 | 0.519  | 467.000     | 468.000     | 26158.000    | 467.107     |
| 35    | 0   | 35   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND2SWMEQ1ZXJB46914FN/classes                                               | 0.020 | 4.820 | 19.188  | 0.548 | 1.400 | 2.084 | 4.820 | 0.874  | 289.000     | 868.000     | 17879.000    | 510.829     |
| 46    | 0   | 46   | 0   | 0   | 0   | POST   | /api/courses/01HFN5NBZ9YCJ4C7Z326DJBX4E/classes/01HFN5P8WN7YP1EP9SWBK31GDP/assignments        | 0.024 | 2.572 | 18.608  | 0.405 | 1.228 | 2.252 | 2.572 | 0.622  | 0.000       | 0.000       | 0.000        | 0.000       |
| 54    | 0   | 54   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND2XRFSQE8W7555NZSXJ/classes                                               | 0.004 | 2.428 | 18.512  | 0.343 | 0.880 | 1.332 | 2.428 | 0.454  | 264.000     | 514.000     | 20484.000    | 379.333     |
| 61    | 0   | 61   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5ND5TC5XZCQXRZ0J7E9X8                                                 | 0.016 | 3.432 | 18.488  | 0.303 | 0.468 | 1.352 | 3.432 | 0.627  | 410.000     | 411.000     | 25021.000    | 410.180     |
| 51    | 0   | 51   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PMXZY6C42VTC0XJHVP6Y                                                 | 0.016 | 2.280 | 18.480  | 0.362 | 1.064 | 1.896 | 2.280 | 0.543  | 386.000     | 387.000     | 19687.000    | 386.020     |
| 44    | 0   | 44   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PQH7SJ053X1VYS4A02JJ                                                 | 0.016 | 3.168 | 18.200  | 0.414 | 1.104 | 1.216 | 3.168 | 0.558  | 383.000     | 383.000     | 16852.000    | 383.000     |
| 46    | 0   | 46   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5PF9H7G20SZSW3PNFGP7T                                                 | 0.020 | 2.780 | 17.856  | 0.388 | 1.164 | 2.316 | 2.780 | 0.616  | 351.000     | 351.000     | 16146.000    | 351.000     |
| 65    | 0   | 65   | 0   | 0   | 0   | GET    | /api/announcements/01HFN5ND4JW9KEX51ZM23EW4ET                                                 | 0.008 | 3.220 | 17.716  | 0.273 | 0.704 | 1.100 | 3.220 | 0.482  | 402.000     | 403.000     | 26145.000    | 402.231     |
| 61    | 0   | 61   | 0   | 0   | 0   | GET    | /api/courses/01HFN5ND24616Y1SY91P902N54/classes                                               | 0.012 | 1.816 | 17.596  | 0.288 | 0.832 | 0.972 | 1.816 | 0.351  | 264.000     | 794.000     | 30997.000    | 508.148     |
