+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 3707  | 0   | 3702 | 0   | 5   | 0   | GET    | /api/announcements                                                                            | 0.000 | 5.000 | 1367.253 | 0.369 | 0.856 | 1.304 | 3.100 | 0.567  | 430.000     | 4151.000    | 12137267.000 | 3274.148    |
| 1265  | 0   | 1264 | 0   | 1   | 0   | GET    | /api/courses                                                                                  | 0.004 | 4.664 | 261.328  | 0.207 | 0.468 | 0.752 | 2.292 | 0.451  | 3.000       | 7864.000    | 4771100.000  | 3771.621    |
| 67    | 0   | 17   | 0   | 50  | 0   | GET    | /api/users/me/grades                                                                          | 0.188 | 5.004 | 246.800  | 3.684 | 5.000 | 5.004 | 5.004 | 2.173  | 26269.000   | 26625.000   | 268205.000   | 4003.060    |
| 604   | 0   | 601  | 0   | 3   | 0   | POST   | /api/announcements                                                                            | 0.008 | 4.916 | 147.393  | 0.244 | 0.544 | 0.832 | 1.916 | 0.424  | 0.000       | 23.000      | 60.000       | 0.099       |
| 418   | 0   | 416  | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                                         | 0.004 | 4.436 | 120.584  | 0.288 | 0.564 | 0.920 | 3.488 | 0.517  | 0.000       | 246.000     | 268.000      | 0.641       |
| 413   | 0   | 412  | 0   | 1   | 0   | GET    | /api/users/me/courses                                                                         | 0.004 | 3.828 | 98.132   | 0.238 | 0.484 | 0.836 | 2.152 | 0.418  | 3.000       | 2716.000    | 786327.000   | 1903.939    |
| 358   | 0   | 352  | 0   | 6   | 0   | POST   | /api/courses                                                                                  | 0.004 | 5.000 | 90.912   | 0.254 | 0.672 | 1.256 | 3.920 | 0.651  | 36.000      | 43.000      | 12800.000    | 35.754      |
| 403   | 0   | 402  | 0   | 1   | 0   | GET    | /api/users/me                                                                                 | 0.004 | 3.752 | 82.128   | 0.204 | 0.564 | 0.764 | 2.372 | 0.459  | 22.000      | 63.000      | 22864.000    | 56.734      |
| 245   | 0   | 245  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VDZMX9KKJM94W2W7DKY/classes                                               | 0.004 | 3.500 | 50.892   | 0.208 | 0.512 | 0.876 | 2.092 | 0.391  | 251.000     | 1336.000    | 194153.000   | 792.461     |
| 232   | 0   | 232  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VMZ6ZJZ9YSY3YD067H8/classes                                               | 0.004 | 2.760 | 50.004   | 0.216 | 0.504 | 0.840 | 1.720 | 0.345  | 241.000     | 1422.000    | 205998.000   | 887.922     |
| 115   | 0   | 114  | 0   | 1   | 0   | GET    | /api/courses/01HFN85VQTEN3Q7TP4790QV03K/classes                                               | 0.008 | 5.000 | 49.220   | 0.428 | 1.032 | 2.244 | 4.832 | 0.889  | 497.000     | 787.000     | 56473.000    | 491.070     |
| 239   | 0   | 239  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VMR6YYBVGN4H2YHC0GZ/classes                                               | 0.004 | 2.636 | 48.760   | 0.204 | 0.532 | 0.744 | 1.668 | 0.327  | 264.000     | 1473.000    | 205411.000   | 859.460     |
| 243   | 0   | 243  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VDXRZA9YPYNMYHF93SD/classes                                               | 0.004 | 3.916 | 48.528   | 0.200 | 0.416 | 0.764 | 2.492 | 0.462  | 246.000     | 1513.000    | 207135.000   | 852.407     |
| 241   | 0   | 241  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VDN8NFHW00VDKCQW56W/classes                                               | 0.004 | 3.304 | 48.168   | 0.200 | 0.376 | 0.708 | 2.540 | 0.387  | 363.000     | 1442.000    | 220809.000   | 916.220     |
| 240   | 0   | 240  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VN1WQ1WF310QJJECDRF/classes                                               | 0.004 | 3.132 | 47.648   | 0.199 | 0.444 | 0.752 | 1.680 | 0.384  | 267.000     | 1419.000    | 198156.000   | 825.650     |
| 234   | 0   | 234  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VE6R9PE6BX8VMMSK6MY/classes                                               | 0.004 | 2.172 | 45.380   | 0.194 | 0.464 | 0.688 | 1.728 | 0.310  | 403.000     | 1559.000    | 233920.000   | 999.658     |
| 234   | 0   | 234  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VMA5G5XZ8FSA5ZQJ30A/classes                                               | 0.004 | 3.100 | 44.976   | 0.192 | 0.468 | 0.744 | 1.412 | 0.336  | 316.000     | 1527.000    | 222729.000   | 951.833     |
| 241   | 0   | 241  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VMPCH8XHF5A06NNM99H/classes                                               | 0.004 | 2.656 | 43.784   | 0.182 | 0.460 | 0.696 | 1.608 | 0.326  | 337.000     | 1350.000    | 210736.000   | 874.423     |
| 152   | 0   | 152  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VQP3DBNKAN8ZNM6ZQ5C/classes                                               | 0.004 | 3.652 | 43.660   | 0.287 | 0.580 | 0.884 | 3.496 | 0.557  | 258.000     | 1246.000    | 107483.000   | 707.125     |
| 238   | 0   | 238  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VE78RGJFHV0KT1DF3EW/classes                                               | 0.004 | 2.184 | 43.300   | 0.182 | 0.380 | 0.728 | 2.088 | 0.309  | 210.000     | 1293.000    | 180888.000   | 760.034     |
| 138   | 0   | 138  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VQTEN3Q7TP47312BWVY/classes                                               | 0.004 | 4.020 | 42.491   | 0.308 | 0.768 | 1.636 | 3.735 | 0.652  | 251.000     | 1009.000    | 80678.000    | 584.623     |
| 240   | 0   | 240  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VMTDBKFE7RK6NXAA3PS/classes                                               | 0.004 | 3.072 | 42.288   | 0.176 | 0.380 | 0.568 | 1.740 | 0.310  | 282.000     | 1532.000    | 216713.000   | 902.971     |
| 238   | 0   | 238  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VN083K09B8H5BNQD4FJ/classes                                               | 0.004 | 3.484 | 41.800   | 0.176 | 0.420 | 0.600 | 2.320 | 0.370  | 340.000     | 1429.000    | 206761.000   | 868.744     |
| 244   | 0   | 244  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VDZMX9KKJM94XTBJG77/classes                                               | 0.004 | 2.492 | 39.840   | 0.163 | 0.396 | 0.532 | 1.256 | 0.254  | 231.000     | 1242.000    | 175915.000   | 720.963     |
| 243   | 0   | 243  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VD1192VPSWTFK5H10D4/classes                                               | 0.004 | 2.340 | 39.624   | 0.163 | 0.396 | 0.700 | 1.280 | 0.290  | 264.000     | 1331.000    | 200620.000   | 825.597     |
| 230   | 0   | 230  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VJJEJ5DD6Q85RSBNXYQ/classes                                               | 0.004 | 1.684 | 39.336   | 0.171 | 0.404 | 0.972 | 1.428 | 0.292  | 327.000     | 1462.000    | 210199.000   | 913.909     |
| 239   | 0   | 239  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VN3XSR9RPZXCH2NARRG/classes                                               | 0.004 | 2.000 | 38.360   | 0.161 | 0.340 | 0.428 | 1.484 | 0.261  | 261.000     | 1464.000    | 210347.000   | 880.113     |
| 238   | 0   | 238  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VMYRZRYXPNC1G70QT46/classes                                               | 0.004 | 2.804 | 37.504   | 0.158 | 0.400 | 0.592 | 0.900 | 0.251  | 391.000     | 1478.000    | 224069.000   | 941.466     |
| 236   | 0   | 236  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VMQ497SZP206XFE0JCN/classes                                               | 0.004 | 1.956 | 37.472   | 0.159 | 0.444 | 0.592 | 1.820 | 0.280  | 308.000     | 1434.000    | 204835.000   | 867.945     |
| 241   | 0   | 241  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VMZ6ZJZ9YSY3VMHPB2Z/classes                                               | 0.004 | 2.584 | 36.268   | 0.150 | 0.312 | 0.540 | 0.996 | 0.235  | 336.000     | 1468.000    | 218044.000   | 904.747     |
| 142   | 0   | 141  | 0   | 1   | 0   | GET    | /api/courses/01HFN85VNCNHD0MMCJKPZM9QMG/classes                                               | 0.004 | 5.000 | 33.360   | 0.235 | 0.580 | 0.880 | 2.464 | 0.513  | 597.000     | 1208.000    | 100690.000   | 709.085     |
| 241   | 0   | 241  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VQ8BSGHSTJA2KR635SV/classes                                               | 0.004 | 2.292 | 33.344   | 0.138 | 0.312 | 0.420 | 1.200 | 0.238  | 242.000     | 1459.000    | 204525.000   | 848.651     |
| 99    | 0   | 98   | 0   | 1   | 0   | GET    | /api/courses/01HFN85VN083K09B8H5C8R65VX/classes                                               | 0.004 | 5.000 | 32.256   | 0.326 | 0.860 | 1.336 | 5.000 | 0.658  | 539.000     | 837.000     | 48337.000    | 488.253     |
| 110   | 0   | 110  | 0   | 0   | 0   | GET    | /api/courses/01HFN85VQTEN3Q7TP475SSFCP9/classes                                               | 0.004 | 4.083 | 28.797   | 0.262 | 0.552 | 0.964 | 2.727 | 0.587  | 287.000     | 1072.000    | 69097.000    | 628.155     |
| 68    | 0   | 68   | 0   | 0   | 0   | GET    | /api/courses/01HFN86VVH1NDNVZ4JHKBR1HWW/classes                                               | 0.008 | 4.512 | 28.536   | 0.420 | 0.820 | 1.400 | 4.512 | 0.797  | 210.000     | 705.000     | 27808.000    | 408.941     |
| 107   | 0   | 105  | 0   | 2   | 0   | GET    | /api/courses/01HFN85WKSF0QZX6E805WRH8MB/classes                                               | 0.004 | 5.000 | 28.408   | 0.265 | 0.436 | 0.648 | 5.000 | 0.738  | 0.000       | 723.000     | 50164.000    | 468.822     |
| 77    | 0   | 76   | 0   | 1   | 0   | GET    | /api/courses/01HFN85WKQG1Y6DTN0J009C2MJ/classes                                               | 0.004 | 5.000 | 23.972   | 0.311 | 0.804 | 1.004 | 5.000 | 0.666  | 668.000     | 669.000     | 32235.000    | 418.636     |
| 81    | 0   | 81   | 0   | 0   | 0   | GET    | /api/courses/01HFN85WP3KZ5JK7K9DBNVAR5C/classes                                               | 0.008 | 3.416 | 22.576   | 0.279 | 0.548 | 1.168 | 3.416 | 0.528  | 209.000     | 841.000     | 39023.000    | 481.765     |
| 35    | 0   | 34   | 0   | 1   | 0   | POST   | /api/courses/01HFN85WKSF0QZX6E805WRH8MB/classes/01HFN877M5GVJZRXF8S6KMEYWY/assignments        | 0.024 | 5.004 | 21.572   | 0.616 | 1.776 | 3.148 | 5.004 | 1.026  | 0.000       | 0.000       | 0.000        | 0.000       |
| 70    | 0   | 70   | 0   | 0   | 0   | GET    | /api/courses/01HFN85WKEKVMMJ0CFA6W69CPR/classes                                               | 0.008 | 4.276 | 21.503   | 0.307 | 0.476 | 1.136 | 4.276 | 0.712  | 315.000     | 600.000     | 31429.000    | 448.986     |
| 45    | 0   | 45   | 0   | 0   | 0   | GET    | /api/announcements/01HFN877ME8XH82Y2C82Z720MJ                                                 | 0.012 | 3.912 | 20.848   | 0.463 | 0.824 | 3.856 | 3.912 | 1.004  | 389.000     | 389.000     | 17505.000    | 389.000     |
| 64    | 0   | 64   | 0   | 0   | 0   | GET    | /api/courses/01HFN86W3F187ETGRB4F8FESFE/classes                                               | 0.012 | 2.632 | 20.785   | 0.325 | 0.784 | 1.132 | 2.632 | 0.502  | 304.000     | 922.000     | 37745.000    | 589.766     |
| 56    | 0   | 56   | 0   | 0   | 0   | GET    | /api/announcements/01HFN863KCN36YB1TJZCJ227TF                                                 | 0.012 | 4.328 | 20.492   | 0.366 | 1.212 | 1.976 | 4.328 | 0.765  | 443.000     | 444.000     | 24814.000    | 443.107     |
| 47    | 0   | 47   | 0   | 0   | 0   | GET    | /api/announcements/01HFN86YGPYHT8N9DA3MW3GW4J                                                 | 0.020 | 3.728 | 20.192   | 0.430 | 0.740 | 2.848 | 3.728 | 0.819  | 385.000     | 385.000     | 18095.000    | 385.000     |
| 45    | 0   | 45   | 0   | 0   | 0   | GET    | /api/announcements/01HFN8790QH3PH2AM1M7GSMAQ5                                                 | 0.016 | 3.860 | 20.004   | 0.445 | 1.132 | 1.232 | 3.860 | 0.706  | 535.000     | 536.000     | 24076.000    | 535.022     |
| 47    | 0   | 46   | 0   | 1   | 0   | POST   | /api/courses/01HFN85VMYRZRYXPNC1G70QT46/classes/01HFN86YHPGC3C7KPVZ5RS86SN/assignments        | 0.012 | 5.000 | 19.276   | 0.410 | 0.900 | 2.484 | 5.000 | 0.866  | 0.000       | 0.000       | 0.000        | 0.000       |
| 31    | 0   | 31   | 0   | 0   | 0   | POST   | /api/courses/01HFN85VN083K09B8H5C8R65VX/classes/01HFN8786N0XYSVBNBWFBG8H0E/assignments        | 0.028 | 4.264 | 19.104   | 0.616 | 1.712 | 2.528 | 4.264 | 0.928  | 0.000       | 0.000       | 0.000        | 0.000       |
| 27    | 0   | 27   | 0   | 0   | 0   | POST   | /api/courses/01HFN85WN604DQG4HYX5TXHCTF/classes/01HFN87CS18ENXTX8Y6SHP9J4R/assignments        | 0.024 | 4.364 | 18.832   | 0.697 | 2.976 | 3.328 | 4.364 | 1.109  | 0.000       | 0.000       | 0.000        | 0.000       |
| 59    | 0   | 59   | 0   | 0   | 0   | GET    | /api/courses/01HFN85WN80ZWKXDP9W36N5597/classes                                               | 0.004 | 4.564 | 18.491   | 0.313 | 0.752 | 1.340 | 4.564 | 0.686  | 216.000     | 700.000     | 23267.000    | 394.356     |
| 46    | 0   | 46   | 0   | 0   | 0   | GET    | /api/announcements/01HFN874E8EHTX39F7KKY4TF38                                                 | 0.016 | 3.352 | 18.256   | 0.397 | 0.856 | 2.260 | 3.352 | 0.695  | 369.000     | 369.000     | 16974.000    | 369.000     |
